185,-83,1307,-4372,3879,-207,
158,128,1442,-5774,4973,-272,
-115,12,1066,-6367,5735,390,
-571,-97,1141,-7396,6091,125,
-1032,-468,913,-7774,6022,-568,
-1241,-994,988,-7908,6025,-159,
-1729,-1746,842,-8049,5562,607,
-2165,-2554,735,-6264,4777,-418,
-2334,-3058,881,-4160,3733,-644,
-2371,-3067,1053,-2162,2456,342,
-2242,-2691,1023,-402,1427,-151,
-1931,-2020,1084,254,850,-860,
-1548,-1403,1170,-53,750,-235,
-1291,-933,1150,-727,963,37,
-1182,-633,1172,-1752,1339,-535,
-1151,-581,1119,-2920,1760,-332,
-1277,-759,1099,-4087,2052,254,
-1559,-1215,1002,-4842,2204,-297,
-1829,-1867,862,-4952,2186,-785,
-2119,-2601,870,-4258,1681,-291,
-2414,-3206,843,-2830,828,-154,
-2611,-3587,875,-985,-229,-509,
-2672,-3709,847,971,-1371,-321,
-2644,-3606,808,2770,-2456,-79,
-2578,-3393,996,4250,-3327,-178,
-2515,-3127,174,5869,-4133,-94,
-2377,-2594,810,5724,-4592,-768,
-2367,-2460,317,6729,-5260,-185,
-2264,-2183,669,7055,-6123,218,
-2122,-2008,347,7970,-7055,-743,
-1738,-1710,534,8479,-7871,-833,
-1282,-1421,387,8867,-8231,-39,
-875,-995,558,8864,-8276,-304,
-446,-688,526,8894,-8144,-864,
-9,-377,747,8468,-7687,-476,
222,-134,823,8053,-7075,-154,
373,59,995,7358,-6372,-744,
503,125,1118,6812,-5726,-639,
670,134,1218,6402,-5427,-355,
862,166,1294,6939,-4247,-1220,
710,406,1218,7379,-3898,112,
816,1060,1932,4623,-2683,601,
358,594,1480,3570,-3188,-11,
522,431,1832,4492,-1801,-1989,
270,371,1783,3545,-1476,264,
80,257,1825,3363,-1180,1069,
-289,38,1656,3736,-974,-1067,
-471,-3,1880,3211,-1517,-999,
-625,-340,1607,3595,-2336,1117,
-775,-401,1680,4055,-3206,428,
-606,-446,1417,5129,-3688,-1495,
-365,-344,1402,5494,-4591,-511,
-50,-203,1340,6104,-5040,818,
166,123,1358,6509,-5345,-64,
561,511,1342,6659,-5381,-725,
1094,908,1485,6402,-4619,567,
1167,1341,1520,5582,-4271,1095,
1259,1592,1637,4984,-3377,-558,
1316,1719,1667,4186,-2640,-488,
1279,1673,1734,3295,-1968,718,
1033,1492,1713,2853,-1474,47,
797,1258,1677,2646,-1173,-877,
640,1022,1656,2544,-1219,65,
481,850,1594,2746,-1357,474,
323,786,1593,2983,-1725,-422,
307,738,1563,3033,-2089,-368,
312,680,1592,2784,-2319,390,
293,527,1457,2967,-2754,112,
369,404,1394,3689,-3165,-734,
602,485,1349,4457,-3317,-345,
852,809,1304,4947,-3177,351,
1064,1286,1309,5090,-2977,133,
1307,1778,1365,4828,-2677,-235,
1517,2219,1437,4190,-2208,61,
1607,2546,1508,3175,-1640,260,
1563,2657,1571,2193,-1032,25,
1420,2616,1542,1335,-535,-83,
1230,2451,1549,572,-197,23,
1030,2210,1500,-29,-153,-42,
923,1900,1433,-383,-508,-368,
981,1591,1423,-283,-817,-509,
1167,1421,1323,31,-1319,-20,
1510,1488,1268,233,-1346,27,
1859,1631,1248,832,-1110,-152,
2267,1945,1401,620,-185,129,
2511,2257,1358,628,1017,1167,
2542,2720,1584,-669,3199,931,
2208,3084,1492,-1844,4138,1054,
1881,3115,1484,-3636,5461,-397,
1645,2892,938,-4429,6722,-1342,
1176,2612,1114,-5911,6555,356,
624,2069,985,-6017,6142,307,
310,1765,1231,-6955,5787,-1268,
191,1268,1039,-6900,4972,-647,
105,857,1022,-6371,4248,689,
156,548,1023,-5659,4066,-305,
295,453,1304,-5156,3812,-968,
552,379,1219,-4399,3941,194,
607,593,1528,-4552,4109,430,
709,693,1354,-4160,4694,-944,
716,875,1505,-4611,5268,-492,
495,1016,1475,-5079,5513,762,
204,1066,1379,-5411,5739,-366,
-43,1118,1419,-5942,5535,-1320,
-197,993,1283,-6314,5036,-527,
-362,872,1368,-6730,4601,-693,
-330,644,1316,-6857,4149,-1570,
-88,494,1439,-7380,4071,-542,
135,209,1251,-7473,4807,-10,
55,-26,1264,-7346,5439,-322,
-242,-160,1287,-7100,5081,-18,
-352,-246,1287,-6632,4615,23,
-314,-223,1241,-6143,4630,-468,
-305,-92,1306,-6471,4728,-309,
-372,-67,1172,-6799,5128,-132,
-585,-94,1091,-7268,5286,-276,
-737,-189,1131,-7855,5399,-588,
-736,-555,992,-8026,5663,-643,
-892,-934,954,-8216,5809,-167,
-1212,-1410,923,-7792,5436,82,
-1552,-1900,1065,-6775,4685,-62,
-1653,-2187,915,-5245,3943,-229,
-1586,-2096,1188,-4049,3262,-137,
-1439,-1865,1156,-3240,2655,74,
-1158,-1444,1031,-2832,2583,-149,
-946,-1030,1453,-3316,2984,-284,
-981,-954,1292,-3509,3310,367,
-1278,-1080,1201,-3562,3375,737,
-1654,-1266,1094,-3441,3160,51,
-1943,-1355,981,-3321,2744,-326,
-2067,-1359,878,-3225,2291,-336,
-2047,-1218,921,-3457,1761,-659,
-1847,-1127,1116,-4333,1336,-1117,
-1629,-1532,1229,-5035,818,-823,
-1437,-2320,949,-4380,330,-166,
-1105,-2732,572,-2587,499,-489,
